Name,5-FU,ABT-888,AZD1775,BEZ-235,BORTEZOMIB,CARBOPLATIN,CYCLOPHOSPHAMIDE,DASATINIB,DEXAMETHASONE,DINACICLIB,DOXORUBICIN,ERLOTINIB,ETOPOSIDE,GELDANAMYCIN,GEMCITABINE,L778123,LAPATINIB,METFORMIN,METHOTREXATE,MITOMYCINE,MK-2206,MK-4541,MK-4827,MK-5108,MK-8669,MK-8776,MRK-003,OXALIPLATIN,PACLITAXEL,PD325901,SN-38,SORAFENIB,SUNITINIB,TEMOZOLOMIDE,TOPOTECAN,VINBLASTINE,VINORELBINE,ZOLINZA
5-FU,1.0,0.15568862275449102,0.12163892445582591,0.1295116772823779,0.14,0.10540540540540544,0.140625,0.13401310997815008,0.1222910216718266,0.12822299651567948,0.10401579986833442,0.11801242236024845,0.08557951482479786,0.13707865168539324,0.18081180811808117,0.13564078578110383,0.1332346410066617,0.14243323442136502,0.13550600343053176,0.12583668005354753,0.15507593924860108,0.18098958333333337,0.12742099898063197,0.12452830188679243,0.10976478973627946,0.11002260738507907,0.12917398945518455,0.15503875968992253,0.12181303116147313,0.1190965092402464,0.11251504211793018,0.14874371859296487,0.14464425332290853,0.12928176795580115,0.11496350364963503,0.10708742886704603,0.10912799592044875,0.16124031007751938
ABT-888,0.15568862275449102,1.0,0.364475201845444,0.322301024428684,0.38370370370370366,0.09881847475832439,0.1737991266375546,0.34012345679012346,0.1543103448275862,0.3590992087644552,0.2878021360314783,0.34820143884892085,0.2591963780418789,0.2889963724304716,0.2788656313301823,0.3570898292501856,0.34651600753295664,0.06959314775160597,0.38329764453961457,0.337995337995338,0.339622641509434,0.2601491300745651,0.36616362192216045,0.3274447949526814,0.27331378299120235,0.3481912144702842,0.3069511355815554,0.15075921908893708,0.3067776456599287,0.2958174904942966,0.354040681693238,0.35780525502318394,0.3908969210174029,0.2347169811320755,0.3556786703601108,0.35932872655478776,0.35783836416747805,0.26908752327746743
AZD1775,0.12163892445582591,0.364475201845444,1.0,0.34676941315945464,0.35349092908191315,0.07299270072992703,0.15357142857142858,0.44160583941605835,0.16797583081571,0.4770114942528736,0.3738095238095238,0.40306992609437176,0.3513902205177373,0.36847389558232935,0.31362196409714893,0.38163148887621223,0.4228571428571428,0.05988023952095811,0.41848739495798315,0.3941148094548963,0.41267305644302454,0.2404692082111437,0.33141542002301494,0.40814196242171186,0.35939036381514256,0.424548352816153,0.3288912579957356,0.08453473132372213,0.3890547263681592,0.3064241046048891,0.44470699432892247,0.3342792281498297,0.41077085533262936,0.26274065685164216,0.44054950260540027,0.4966472954850246,0.5022202486678509,0.21401985111662536
BEZ-235,0.1295116772823779,0.322301024428684,0.34676941315945464,1.0,0.31407407407407406,0.08782201405152223,0.14364135407136325,0.31956797966963146,0.15491651205936918,0.3285714285714286,0.2706766917293233,0.36712749615975426,0.2513211978860834,0.2595797280593325,0.2613875262789068,0.34627329192546585,0.3529023746701847,0.06721698113207553,0.3509157509157509,0.2862149532710281,0.3340122199592668,0.22699914015477218,0.3527454242928453,0.31716906946264745,0.26415094339622647,0.30517354289456455,0.2828713574982231,0.11149425287356318,0.2963647566235367,0.301535974130962,0.3197771587743733,0.35203252032520327,0.336026936026936,0.20187061574434917,0.31746920492721165,0.32933533233383305,0.3249754178957719,0.2702702702702703
BORTEZOMIB,0.14,0.38370370370370366,0.35349092908191315,0.31407407407407406,1.0,0.09598432908912835,0.15477145148356053,0.34460260972716483,0.16382806163828056,0.34391229082515873,0.3158765159867696,0.2767336357744653,0.30028011204481797,0.31600708800945065,0.29053177691309984,0.41159207630227435,0.3252513305736251,0.05187319884726227,0.4125,0.36141149686966423,0.3570528967254408,0.28129952456418383,0.3716012084592145,0.31894484412470026,0.3280609256004686,0.31189903846153844,0.3589918256130791,0.13542688910696765,0.35499113998818665,0.30246020260492046,0.3669871794871795,0.33597692862292716,0.4302631578947368,0.24068767908309452,0.36207820032137117,0.3848396501457726,0.3910318225650916,0.268695652173913
CARBOPLATIN,0.10540540540540544,0.09881847475832439,0.07299270072992703,0.08782201405152223,0.09598432908912835,1.0,0.12264150943396224,0.07239819004524883,0.25799573560767586,0.08797653958944285,0.09129511677282376,0.06635071090047395,0.0941438102297999,0.10287081339712922,0.1181640625,0.07577268195413756,0.06402439024390238,0.10132158590308371,0.11538461538461542,0.08030726256983245,0.07289107289107288,0.12046444121915822,0.09841628959276016,0.10431947840260802,0.10061919504643968,0.06443914081145585,0.08593012275731826,0.33333333333333337,0.09939301972685888,0.10532407407407407,0.07595731324544885,0.08154506437768239,0.07873376623376627,0.06738868832731648,0.0780952380952381,0.06933333333333336,0.0691823899371069,0.16730038022813687
CYCLOPHOSPHAMIDE,0.140625,0.1737991266375546,0.15357142857142858,0.14364135407136325,0.15477145148356053,0.12264150943396224,1.0,0.16277518345563713,0.14017521902377972,0.1645161290322581,0.15142150803461063,0.13768686073957515,0.13089993706733793,0.1607629427792916,0.17186250999200636,0.1686143572621035,0.16170500676589983,0.08143939393939392,0.15091463414634143,0.1733668341708543,0.16085409252669036,0.194535519125683,0.1734786557674841,0.15189003436426118,0.18089430894308944,0.16339410939691446,0.1619273301737757,0.15722120658135286,0.157619359058208,0.14645103324348607,0.16020524515393386,0.15565217391304342,0.1530398322851153,0.13640639698965196,0.16034482758620694,0.16067864271457089,0.15905743740795286,0.16583541147132175
DASATINIB,0.13401310997815008,0.34012345679012346,0.44160583941605835,0.31956797966963146,0.34460260972716483,0.07239819004524883,0.16277518345563713,1.0,0.15635395874916835,0.4257854821235103,0.3476953907815631,0.3701024713682941,0.3152882205513784,0.323744769874477,0.30506545247581107,0.391875,0.4252100840336135,0.06231003039513683,0.41808252427184467,0.3708036622583927,0.34390377255330784,0.2315586914688903,0.31288723667905827,0.4360298336201951,0.3322965266977709,0.3401617250673854,0.3184165232358004,0.0969196093163035,0.36468733578560164,0.2893930104230533,0.39067055393586003,0.33996270975761345,0.39864483342744217,0.25928217821782173,0.39100684261974583,0.4164420485175202,0.42321428571428577,0.2390998593530239
DEXAMETHASONE,0.1222910216718266,0.1543103448275862,0.16797583081571,0.15491651205936918,0.16382806163828056,0.25799573560767586,0.14017521902377972,0.15635395874916835,1.0,0.19760479041916168,0.20963541666666663,0.15095846645367417,0.2075471698113207,0.2969465648854962,0.19070904645476772,0.1548013245033113,0.155195681511471,0.05794392523364489,0.19349722442505946,0.24282855236824552,0.16642754662840742,0.27699530516431925,0.16470588235294115,0.19613457408733004,0.2788815305371597,0.15020862308762173,0.18800648298217182,0.16512059369202226,0.2616154395997141,0.18563432835820892,0.20189461219656601,0.16242317822651453,0.18515850144092216,0.13597733711048154,0.20454545454545459,0.21327757449032936,0.21255790015440046,0.21409921671018273
DINACICLIB,0.12822299651567948,0.3590992087644552,0.4770114942528736,0.3285714285714286,0.34391229082515873,0.08797653958944285,0.1645161290322581,0.4257854821235103,0.19760479041916168,1.0,0.3583415597235933,0.35676932016269614,0.33366434955312807,0.37195767195767193,0.3342776203966006,0.3238866396761133,0.403338718362951,0.06027596223674658,0.4245843230403801,0.39172135285209486,0.41652613827993257,0.2600127145581691,0.389171974522293,0.3797740720817644,0.37083333333333335,0.4585002862049228,0.35243553008595985,0.10130246020260492,0.377720207253886,0.2856294536817102,0.43544428080510555,0.3031727379553466,0.39123287671232876,0.2504472271914132,0.4311023622047244,0.46669708029197077,0.4725872224739466,0.25017135023989034
